Minimum Sense Count,Maximum Sense Count,Mean Sense Count,Minimum Fitness,Maximum Fitness,Mean Fitness,Minimum Function Calls,Maximum Function Calls,Mean Function Calls,Minimum Function Forks,Maximum Function Forks,Mean Function Forks,Minimum Function Calls & Forks,Maximum Function Calls & Forks,Mean Funciton Calls & Forks,Minimum Guess0 Count,Maximum Guess0 Count,Mean Guess0 Count,Minimum Guess1 Count,Maximum Guess1 Count,Mean Guess1 Count
0,26.62,8.99968,-100,99,59.77,0,4022,708.407,0,0,0,0,4022,708.407,0,27.36,2.23586,0,81.34,6.2917
0,43.04,9.12352,-100,96,59.808,0,4015,720.94,0,0,0,0,4015,720.94,0,24.88,2.26978,0,81.36,6.58916
0,40.16,9.01144,-100,97,60.19,0,7866,732.751,0,0,0,0,7866,732.751,0,24.22,2.14736,0,81.74,6.29998
0,40.1,8.97994,-100,94,59.056,0,4008,719.058,0,0,0,0,4008,719.058,0,35.8,2.11878,0,81.22,6.25144
0,51.68,8.53372,-100,95,57.202,0,4024,731.499,0,0,0,0,4024,731.499,0,21.16,2.05594,0,80.9,6.26532
0,31.44,8.77412,-100,91,58.731,0,8046,723.394,0,0,0,0,8046,723.394,0,18.7,2.15388,0,81.22,6.06682
0,31.46,8.65786,-100,97,59.705,0,7857,752.65,0,0,0,0,7857,752.65,0,54.6,2.254,0,81.46,6.87804
0,27.5,8.76074,-100,99,58.191,0,7854,727.315,0,0,0,0,7854,727.315,0,54.38,2.13208,0,81.24,6.09556
0,54.26,8.66696,-100,95,57.696,0,5608,774.408,0,0,0,0,5608,774.408,0,19.58,1.98666,0,81.46,7.2188
0,50.92,8.58156,-100,94,56.554,0,8030,766.364,0,0,0,0,8030,766.364,0,31.04,2.166,0,81.64,7.1433
0,50.96,8.58112,-100,92,57.281,0,5867,753.425,0,0,0,0,5867,753.425,0,40.72,2.22464,0,81.16,6.80534
0,51.16,9.0538,-100,98,59.545,0,5565,759.965,0,0,0,0,5565,759.965,0,40.58,2.25566,0,108.68,6.78306
0,51.34,8.54498,-100,91,57.818,0,4013,736.784,0,0,0,0,4013,736.784,0,40.56,2.32034,0,108.06,6.7071
0,32.72,8.61606,-100,97,58.83,0,4019,683.833,0,0,0,0,4019,683.833,0,39.16,2.27534,0,107.96,6.22266
0,34.66,8.97386,-100,94,59.509,0,4011,683.072,0,0,0,0,4011,683.072,0,27.22,2.29382,0,81.7,6.26766
0,35.6,8.95448,-100,95,58.878,0,4024,707.37,0,0,0,0,4024,707.37,0,28.7,2.22074,0,81.46,6.44516
0,29.44,9.09608,-100,93,60.116,0,4011,685.108,0,0,0,0,4011,685.108,0,22.56,2.17202,0,81.74,6.13226
0,30.62,8.6231,-100,90,58.472,0,4029,682.181,0,0,0,0,4029,682.181,0,41.44,2.2298,0,81.74,6.40628
0,43.36,8.9325,-100,93,61.123,0,4035,708.234,0,0,0,0,4035,708.234,0,31.7,2.39802,0,81.48,6.65504
0,33.5,8.93618,-100,94,59.496,0,7631,675.629,0,0,0,0,7631,675.629,0,34.6,2.3432,0,80.92,6.00598
